SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
261923,6.96589495,0,0.14355657,1,2,2,17,false,0,DIP-39666N|refseq:NP_002991|uniprotkb:P21912,3,2,0,0,0.7613642,false,0,DIP-39666N|refseq:NP_002991|uniprotkb:P21912,0,0.75,No
261924,6.96589495,0,0.14355657,1,2,2,17,false,0,DIP-50293N|uniprotkb:O76031,3,2,0,0,0.7613642,false,0,DIP-50293N|uniprotkb:O76031,0,0.75,No
261925,6.31043067,0,0.15846779,0,1,1,17,false,0,DIP-62092N|uniprotkb:Q99807,16,1,0,0,0.78758277,false,0,DIP-62092N|uniprotkb:Q99807,0,0,No
261926,6.31043067,0,0.15846779,0,1,1,17,false,0,DIP-62091N|uniprotkb:Q96DA6,16,1,0,0,0.78758277,false,0,DIP-62091N|uniprotkb:Q96DA6,0,0,No
261927,6.31043067,0,0.15846779,0,1,1,17,false,0,DIP-56845N|uniprotkb:O75127,16,1,0,0,0.78758277,false,0,DIP-56845N|uniprotkb:O75127,0,0,No
261928,6.31043067,0,0.15846779,0,1,1,17,false,0,DIP-53543N|uniprotkb:P36969,16,1,0,0,0.78758277,false,0,DIP-53543N|uniprotkb:P36969,0,0,No
261929,7.2643764,0,0.13765807,0,1,1,17,false,0,DIP-62089N|uniprotkb:G1T7G6,5,1,0,0,0.74942494,false,0,DIP-62089N|uniprotkb:G1T7G6,0,0,No
261930,7.2643764,0,0.13765807,0,1,1,17,false,0,DIP-62088N|uniprotkb:G1SU30,5,1,0,0,0.74942494,false,0,DIP-62088N|uniprotkb:G1SU30,0,0,No
261931,7.2643764,0,0.13765807,0,1,1,17,false,0,DIP-62087N|uniprotkb:G1SR03,5,1,0,0,0.74942494,false,0,DIP-62087N|uniprotkb:G1SR03,0,0,No
261932,2.28571429,0,0.4375,0,1,1,3,false,-1,DIP-62097N|refseq:NP_001138536|uniprotkb:A6NHX0,4,1,0,0,0.57142857,false,0,DIP-62097N|refseq:NP_001138536|uniprotkb:A6NHX0,0,0,No
261933,2.28571429,0,0.4375,0,3,2,3,false,-1,DIP-62096N|refseq:NP_001032755|uniprotkb:Q8WTX7,4,2,0,0,0.57142857,false,1,DIP-62096N|refseq:NP_001032755|uniprotkb:Q8WTX7,0,0,No
261934,1,0,1,0,1,1,1,false,-1,DIP-62095N|refseq:NP_001171201|uniprotkb:Q9Z0Y9,1,1,0,0,1,false,0,DIP-62095N|refseq:NP_001171201|uniprotkb:Q9Z0Y9,0,0,No
261935,1,0,1,0,1,1,1,false,-1,DIP-62094N|uniprotkb:Q5VTQ0,1,1,0,0,1,false,0,DIP-62094N|uniprotkb:Q5VTQ0,0,0,No
261936,5.81578292,0,0.1719459,0,1,1,15,false,0,DIP-44057N|refseq:AP_000207|uniprotkb:P68951,3,1,0,0,0.80736868,false,0,DIP-44057N|refseq:AP_000207|uniprotkb:P68951,0,0,No
261937,5.85461787,0,0.17080534,0,1,1,15,false,0,DIP-39422N|uniprotkb:P98078,21,1,0,0,0.80581529,false,0,DIP-39422N|uniprotkb:P98078,0,0,No
261938,5.85461787,0,0.17080534,0,1,1,15,false,0,DIP-57222N|uniprotkb:Q6PF93,21,1,0,0,0.80581529,false,0,DIP-57222N|uniprotkb:Q6PF93,0,0,No
261939,5.85461787,0,0.17080534,0,1,1,15,false,0,DIP-60849N|refseq:NP_766187|uniprotkb:Q8CDJ3,21,1,0,0,0.80581529,false,0,DIP-60849N|refseq:NP_766187|uniprotkb:Q8CDJ3,0,0,No
261940,1,0,1,0,1,1,1,false,-1,DIP-62090N|refseq:NP_065394|uniprotkb:Q9GZU1,1,1,0,0,1,false,0,DIP-62090N|refseq:NP_065394|uniprotkb:Q9GZU1,0,0,No
261941,1,0,1,0,1,1,1,false,-1,DIP-45092N|uniprotkb:Q01968,1,1,0,0,1,false,0,DIP-45092N|uniprotkb:Q01968,0,0,No
261942,9.30594971,0,0.10745813,0,1,1,19,false,0,DIP-52371N|uniprotkb:Q9NR96,2,1,0,0,0.66776201,false,0,DIP-52371N|uniprotkb:Q9NR96,0,0,No
261943,8.17052527,0,0.12239115,0,1,1,19,false,0,DIP-62084N|uniprotkb:Q8T045,4,1,0,0,0.71317899,false,0,DIP-62084N|uniprotkb:Q8T045,0,0,No
261944,1,0,1,0,1,1,1,false,-1,DIP-52905N|uniprotkb:Q96DX5,1,1,0,0,1,false,0,DIP-52905N|uniprotkb:Q96DX5,0,0,Yes
261945,1,0,1,0,1,1,1,false,-1,DIP-52968N|uniprotkb:P12277,1,1,0,0,1,false,0,DIP-52968N|uniprotkb:P12277,0,0,No
261946,0,0,0,0,2,NA,0,true,-1,DIP-62077N|uniprotkb:Q9H7X0,0,1,0,0,92233720368.5478,false,1,DIP-62077N|uniprotkb:Q9H7X0,0,0,Yes
261947,5.86208613,0,0.17058774,0,1,1,16,false,0,DIP-62076N|uniprotkb:A6H8Y1,16,1,0,0,0.80551655,false,0,DIP-62076N|uniprotkb:A6H8Y1,0,0,No
261948,5.86208613,0,0.17058774,0,1,1,16,false,0,DIP-62075N|uniprotkb:Q98148,16,1,0,0,0.80551655,false,0,DIP-62075N|uniprotkb:Q98148,0,0,No
261949,5.86208613,0,0.17058774,0,1,1,16,false,0,DIP-62074N|uniprotkb:Q9BZ95,16,1,0,0,0.80551655,false,0,DIP-62074N|uniprotkb:Q9BZ95,0,0,No
261950,6.79761016,0,0.14711053,0,1,1,17,false,0,DIP-31197N|uniprotkb:Q8IU57,6,1,0,0,0.76809559,false,0,DIP-31197N|uniprotkb:Q8IU57,0,0,No
261951,7.20512821,0,0.13879004,0,1,1,17,false,0,DIP-52482N|refseq:NP_006390|uniprotkb:Q16520,4,1,0,0,0.75179487,false,0,DIP-52482N|refseq:NP_006390|uniprotkb:Q16520,0,0,Yes
261952,5.29325367,0,0.18891972,0,1,1,15,false,0,DIP-50038N|uniprotkb:P12955,11,1,0,0,0.82826985,false,0,DIP-50038N|uniprotkb:P12955,0,0,Yes
261953,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-29482N|refseq:NP_659436|uniprotkb:Q96CN5,4,1,0,0,0.625,false,0,DIP-29482N|refseq:NP_659436|uniprotkb:Q96CN5,0,0,No
261954,7.20512821,0,0.13879004,0,1,1,17,false,0,DIP-62062N|uniprotkb:Q86SX3,4,1,0,0,0.75179487,false,0,DIP-62062N|uniprotkb:Q86SX3,0,0,No
261955,6.47373662,0,0.15447029,0,1,1,15,false,0,DIP-54794N|uniprotkb:P43355,6,1,0,0,0.78105054,false,0,DIP-54794N|uniprotkb:P43355,0,0,No
261956,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-29481N|refseq:NP_077017|uniprotkb:Q9BUW7,4,1,0,0,0.625,false,0,DIP-29481N|refseq:NP_077017|uniprotkb:Q9BUW7,0,0,No
261957,6.20537715,0.000711420097567768,0.16115056,0,4,4,16,false,0,DIP-41589N|refseq:NP_004074|uniprotkb:P35638,2.25,4,0,0,0.79178491,false,0,DIP-41589N|refseq:NP_004074|uniprotkb:P35638,60922,0.25,No
261958,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-36645N|refseq:NP_002796|uniprotkb:P62195,4,1,0,0,0.625,false,0,DIP-36645N|refseq:NP_002796|uniprotkb:P62195,0,0,No
261959,6.66044312,0,0.15014016,0,1,1,17,false,0,DIP-29465N|refseq:NP_060092|uniprotkb:Q96GS4,4,1,0,0,0.77358228,false,0,DIP-29465N|refseq:NP_060092|uniprotkb:Q96GS4,0,0,No
261960,1,4.99893772573328e-07,1,0,4,4,1,false,-1,DIP-46732N|uniprotkb:Q96EK4,1,4,0,0,1,false,0,DIP-46732N|uniprotkb:Q96EK4,12,0,No
261961,1.75,0,0.57142857,0,1,1,2,false,-1,DIP-50304N|refseq:NP_055075|uniprotkb:O15212,4,1,0,0,0.625,false,0,DIP-50304N|refseq:NP_055075|uniprotkb:O15212,0,0,No
261962,7.49639034,0,0.13339754,0,1,1,18,false,0,DIP-29457N|refseq:NP_060275|uniprotkb:Q5U651,8,1,0,0,0.74014439,false,0,DIP-29457N|refseq:NP_060275|uniprotkb:Q5U651,0,0,No
261963,6.66044312,0,0.15014016,0,1,1,17,false,0,DIP-29467N|refseq:NP_056937|uniprotkb:Q04323,4,1,0,0,0.77358228,false,0,DIP-29467N|refseq:NP_056937|uniprotkb:Q04323,0,0,No
261964,6.0497884,0,0.16529504,0,1,1,16,false,0,DIP-62043N|uniprotkb:Q96HI0,9,1,0,0,0.79800846,false,0,DIP-62043N|uniprotkb:Q96HI0,0,0,No
261965,5.98332089,0,0.16713127,0,1,1,16,false,0,DIP-50722N|uniprotkb:Q9UNF1,10,1,0,0,0.80066716,false,0,DIP-50722N|uniprotkb:Q9UNF1,0,0,No
261966,5.95992034,0,0.16778748,1,2,2,16,false,0,DIP-53681N|uniprotkb:Q8N680,8.5,2,0,0,0.80160319,false,0,DIP-53681N|uniprotkb:Q8N680,0,0.77272727,No
261967,5.95992034,0,0.16778748,1,2,2,16,false,0,DIP-50784N|uniprotkb:Q3V6T2,8.5,2,0,0,0.80160319,false,0,DIP-50784N|uniprotkb:Q3V6T2,0,0.77272727,No
261968,7.32462036,1.28368900653675e-05,0.13652585,0,2,2,17,false,5,DIP-62001N|refseq:NP_001094320|uniprotkb:E9PT20,7.5,2,0,0,0.74701519,false,0,DIP-62001N|refseq:NP_001094320|uniprotkb:E9PT20,5988,0.92857143,No
261969,7.32462036,1.28368900653675e-05,0.13652585,0,2,2,17,false,5,DIP-42685N|refseq:NP_476540|uniprotkb:Q6IN36,7.5,2,0,0,0.74701519,false,0,DIP-42685N|refseq:NP_476540|uniprotkb:Q6IN36,5988,0.92857143,No
261970,7.32462036,1.28368900653675e-05,0.13652585,0,2,2,17,false,5,DIP-42570N|refseq:NP_001020285|uniprotkb:Q5BJU7,7.5,2,0,0,0.74701519,false,0,DIP-42570N|refseq:NP_001020285|uniprotkb:Q5BJU7,5988,0.92857143,No
261971,6.06198656,0,0.16496242,0,1,1,16,false,0,DIP-42104N|uniprotkb:P56545,13,1,0,0,0.79752054,false,0,DIP-42104N|uniprotkb:P56545,0,0,Yes
261972,7.24919094,1.11880987194983e-07,0.13794643,0.66666667,7,7,16,false,9,DIP-50399N|uniprotkb:Q9BPX5,6.57142857,7,0,0,0.75003236,false,0,DIP-50399N|uniprotkb:Q9BPX5,14,0.5974026,No
261973,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-32961N|refseq:NP_003008|uniprotkb:P84103,30,1,0,0,0.82506348,false,0,DIP-32961N|refseq:NP_003008|uniprotkb:P84103,0,0,No
261974,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-31272N|refseq:NP_005057|uniprotkb:P23246,30,1,0,0,0.82506348,false,0,DIP-31272N|refseq:NP_005057|uniprotkb:P23246,0,0,No
261975,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-36735N|uniprotkb:Q15147,30,1,0,0,0.82506348,false,0,DIP-36735N|uniprotkb:Q15147,0,0,No
261976,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-33682N|uniprotkb:P11586,30,1,0,0,0.82506348,false,0,DIP-33682N|uniprotkb:P11586,0,0,No
261977,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-56112N|uniprotkb:O00139,30,1,0,0,0.82506348,false,0,DIP-56112N|uniprotkb:O00139,0,0,No
261978,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-33564N|refseq:NP_001474|uniprotkb:O75323,30,1,0,0,0.82506348,false,0,DIP-33564N|refseq:NP_001474|uniprotkb:O75323,0,0,No
261979,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-61980N|refseq:NP_054766|uniprotkb:Q9UNZ5,30,1,0,0,0.82506348,false,0,DIP-61980N|refseq:NP_054766|uniprotkb:Q9UNZ5,0,0,No
261980,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-33164N|uniprotkb:O95782,30,1,0,0,0.82506348,false,0,DIP-33164N|uniprotkb:O95782,0,0,No
261981,5.37341299,0,0.18610146,0,1,1,15,false,0,DIP-50666N|uniprotkb:Q8NE71,30,1,0,0,0.82506348,false,0,DIP-50666N|uniprotkb:Q8NE71,0,0,No
261982,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-62054N|refseq:NP_032492|uniprotkb:O35344,12,1,0,0,0.77830222,false,0,DIP-62054N|refseq:NP_032492|uniprotkb:O35344,0,0,No
261983,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-62053N|refseq:NP_032493|uniprotkb:O35343,12,1,0,0,0.77830222,false,0,DIP-62053N|refseq:NP_032493|uniprotkb:O35343,0,0,No
261984,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-34582N|refseq:NP_078941|uniprotkb:Q9BZK7,12,1,0,0,0.77830222,false,0,DIP-34582N|refseq:NP_078941|uniprotkb:Q9BZK7,0,0,No
261985,6.15758028,0,0.16240146,0,1,1,16,false,0,DIP-38179N|refseq:NP_005460|uniprotkb:O14734,6,1,0,0,0.79369679,false,0,DIP-38179N|refseq:NP_005460|uniprotkb:O14734,0,0,No
261986,6.15758028,0,0.16240146,0,1,1,16,false,0,DIP-32892N|uniprotkb:P62269,6,1,0,0,0.79369679,false,0,DIP-32892N|uniprotkb:P62269,0,0,No
261987,7.99253174,0,0.1251168,0,1,1,17,false,0,DIP-62051N|uniprotkb:Q12980,4,1,0,0,0.72029873,false,0,DIP-62051N|uniprotkb:Q12980,0,0,No
261988,7.99253174,0,0.1251168,0,1,1,17,false,0,DIP-50746N|uniprotkb:Q8WTW4,4,1,0,0,0.72029873,false,0,DIP-50746N|uniprotkb:Q8WTW4,0,0,No
261989,6.99278068,0.0006691078145894,0.14300463,0.16666667,4,4,16,false,0,DIP-62050N|refseq:NP_001229825|uniprotkb:O75140,3.5,4,0,0,0.76028877,false,0,DIP-62050N|refseq:NP_001229825|uniprotkb:O75140,109818,0.42857143,No
261990,6.1725168,0,0.16200847,0,1,1,16,false,0,DIP-45629N|uniprotkb:Q9H165,9,1,0,0,0.79309933,false,0,DIP-45629N|uniprotkb:Q9H165,0,0,No
261991,2.14285714,0,0.46666667,0,1,1,3,false,-1,DIP-62046N|uniprotkb:Q9Y6P5,5,1,0,0,0.61904762,false,0,DIP-62046N|uniprotkb:Q9Y6P5,0,0,No
261992,6.34876774,0,0.15751088,0,1,1,16,false,0,DIP-62058N|refseq:NP_196900|uniprotkb:Q8GZB6,11,1,0,0,0.78604929,false,0,DIP-62058N|refseq:NP_196900|uniprotkb:Q8GZB6,0,0,No
261993,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-62055N|refseq:NP_065626|uniprotkb:Q9QXE7,12,1,0,0,0.77830222,false,0,DIP-62055N|refseq:NP_065626|uniprotkb:Q9QXE7,0,0,No
261994,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-38606N|refseq:NP_109657|uniprotkb:Q8BHJ5,12,1,0,0,0.77830222,false,0,DIP-38606N|refseq:NP_109657|uniprotkb:Q8BHJ5,0,0,Yes
261995,6.54244461,0,0.15284807,0,1,1,16,false,0,DIP-42595N|uniprotkb:Q9WU42,12,1,0,0,0.77830222,false,0,DIP-42595N|uniprotkb:Q9WU42,0,0,No
261996,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-62048N|refseq:NP_116181|uniprotkb:Q96K62,11,1,0,0,0.78533234,false,0,DIP-62048N|refseq:NP_116181|uniprotkb:Q96K62,0,0,No
261997,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-62047N|refseq:NP_001138810|uniprotkb:O15209,11,1,0,0,0.78533234,false,0,DIP-62047N|refseq:NP_001138810|uniprotkb:O15209,0,0,No
261998,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-41566N|refseq:NP_055687|uniprotkb:O15062,11,1,0,0,0.78533234,false,0,DIP-41566N|refseq:NP_055687|uniprotkb:O15062,0,0,No
261999,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-36071N|uniprotkb:Q9NRL2,11,1,0,0,0.78533234,false,0,DIP-36071N|uniprotkb:Q9NRL2,0,0,No
262000,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-45191N|uniprotkb:Q6ZRS2,11,1,0,0,0.78533234,false,0,DIP-45191N|uniprotkb:Q6ZRS2,0,0,No
262001,6.36669156,0,0.15706745,0,1,1,16,false,0,DIP-38021N|uniprotkb:Q9HCK8,11,1,0,0,0.78533234,false,0,DIP-38021N|uniprotkb:Q9HCK8,0,0,No
262002,5.3669405,0.00205751982037075,0.1863259,0.05454545,11,11,15,false,0,DIP-56307N|uniprotkb:O95365,5.54545455,11,0,0,0.82532238,false,0,DIP-56307N|uniprotkb:O95365,239430,0.13267813,No
262003,2.14285714,0,0.46666667,0,1,1,3,false,-1,DIP-19601N|refseq:NP_611821|uniprotkb:Q9W1K5,5,1,0,0,0.61904762,false,0,DIP-19601N|refseq:NP_611821|uniprotkb:Q9W1K5,0,0,No
262004,2.14285714,0,0.46666667,0,1,1,3,false,-1,DIP-62045N|uniprotkb:P58005,5,1,0,0,0.61904762,false,0,DIP-62045N|uniprotkb:P58005,0,0,No
262005,1.71428571,0,0.58333333,1,2,2,2,false,-1,DIP-62044N|refseq:NP_113647|uniprotkb:P58004,4.5,2,0,0,0.76190476,false,0,DIP-62044N|refseq:NP_113647|uniprotkb:P58004,0,0.64285714,No
262006,1.42857143,9.16471916384435e-07,0.7,0.16666667,4,4,2,false,-1,DIP-53801N|uniprotkb:Q9NXC5,2.25,4,0,0,0.85714286,false,0,DIP-53801N|uniprotkb:Q9NXC5,22,0.35,No
262007,1.28571429,1.24973443143332e-06,0.77777778,0.1,5,5,2,false,-1,DIP-53812N|uniprotkb:Q96S15,1.8,5,0,0,0.9047619,false,0,DIP-53812N|uniprotkb:Q96S15,30,0.3,No
262008,6.15608663,0.00100328680155467,0.16244086,0,2,2,16,false,0,DIP-62039N|refseq:NP_065948|uniprotkb:Q9P1Z3,4.5,2,0,0,0.79375653,false,0,DIP-62039N|refseq:NP_065948|uniprotkb:Q9P1Z3,123960,0.5,No
