SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
303793,5.35246294,0.0010434997082944,0.18682988,0,4,10,false,0,uniprotkb:Q8CGE9,3.25,4,0,0,0.7098358,false,0,uniprotkb:Q8CGE9,219276,0.25,No
303794,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:Q63932,4,1,0,0,0.64318508,false,0,uniprotkb:Q63932,0,0,No
303795,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:P20171,4,1,0,0,0.64318508,false,0,uniprotkb:P20171,0,0,No
303796,6.35222382,0,0.15742518,0,1,11,false,0,uniprotkb:Q04970,4,1,0,0,0.64318508,false,0,uniprotkb:Q04970,0,0,No
303797,4.35413678,0.00265584298665891,0.22966665,0.08888889,29,9,false,0,uniprotkb:P15056,16.6,22,0,2,0.77639088,false,7,uniprotkb:P15056,548672,0.10878378,No
303798,4.7446198,0.000687453061349504,0.21076504,0.07142857,10,9,false,0,uniprotkb:Q16539,5.125,10,0,2,0.75035868,false,0,uniprotkb:Q16539,103582,0.15416667,No
303799,4.13032042,0.00123186289726535,0.24211197,0.1,8,9,false,0,uniprotkb:O43257,25.4,8,0,2,0.79131197,false,0,uniprotkb:O43257,157678,0.20840336,No
303800,3.15925395,0.0719804020750649,0.31653043,0.00951886,179,8,false,0,uniprotkb:P0CG48,12.25,179,0,36,0.85604974,false,0,uniprotkb:P0CG48,10416460,0.01427893,Yes
303801,3.99856528,0.000454022318613652,0.2500897,0.04761905,11,9,false,0,uniprotkb:Q12888,30.42857143,11,0,3,0.80009565,false,0,uniprotkb:Q12888,114104,0.15316642,Yes
303802,5.65088474,3.32854771385773e-08,0.17696344,0.83333333,10,11,false,0,uniprotkb:Q0VG06,5,10,0,3,0.68994102,false,0,uniprotkb:Q0VG06,2,0.55555556,No
303803,4.65184122,0.00143198640796837,0.21496864,0.19444444,16,10,false,0,uniprotkb:O15360,6.33333333,16,0,6,0.75654392,false,0,uniprotkb:O15360,218988,0.16216216,No
303804,5.26948828,3.70001681615855e-05,0.18977175,0.6,9,11,false,0,uniprotkb:Q8NB91,4.8,9,0,2,0.71536745,false,0,uniprotkb:Q8NB91,15416,0.43636364,No
