"Cytoscape","Cy.Betweenness","Coding","Co.Betweenness"
"P62988",0.297632369771616,"P62988",0.297812132956404
"P04637",0.0772990418869184,"P04637",0.0773163975084277
"P10275",0.0489639706522673,"P10275",0.0489838623724088
"P35222",0.0418052020974259,"P35222",0.041812490598409
"P21333",0.0349914856933425,"P21333",0.0350096953545798
"P00533",0.0280402123900074,"P00533",0.0280955677152955
"P01375",0.0226537739029738,"P01375",0.0226537420482807
"P31749",0.022563879605181,"P31749",0.0225822637126032
"Q03135",0.0206570503172939,"Q03135",0.0206966313795236
"P24385",0.0206366734425067,"P24385",0.0206426376129726
